xbox,ybox,width,high,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xege,xegvy,yege,yegvx,class
5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8,W
1,3,2,1,1,7,7,5,6,7,5,10,1,9,3,9,G
8,10,8,6,6,7,7,3,5,8,4,8,6,6,7,7,R
3,9,4,7,2,7,5,6,10,5,6,10,0,9,9,8,S
7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,3,Y
3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8,L
2,4,4,3,2,6,10,1,7,8,11,8,1,11,2,7,Y
4,5,6,6,5,8,10,4,4,7,7,9,3,7,7,5,J
4,9,5,6,4,7,8,7,7,8,4,7,2,7,9,8,S
6,9,7,11,7,8,5,7,5,9,6,9,3,8,6,8,Q
3,5,5,4,4,9,3,4,3,8,4,9,3,6,4,8,Q
2,6,3,4,2,6,7,10,8,6,6,6,3,8,3,8,D
6,10,4,5,2,6,9,6,6,11,7,7,2,9,5,9,C
5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9,L
3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8,N
2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8,C
6,9,4,4,2,7,7,4,7,10,6,10,1,9,7,9,E
4,9,5,6,5,7,6,3,5,6,6,9,2,8,8,8,X
3,3,4,1,2,8,7,5,6,7,6,8,5,8,3,7,H
2,3,2,4,1,0,1,5,6,0,0,6,0,8,0,8,L
3,5,5,4,3,7,8,3,6,10,6,8,3,8,3,8,H
2,3,3,2,2,7,7,5,7,7,6,8,2,8,5,10,E
5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3,Y
8,12,8,6,4,9,8,4,5,8,4,5,6,9,5,9,H
5,10,5,5,4,9,6,5,6,10,6,7,4,8,9,9,Q
3,8,5,7,3,8,7,9,6,6,6,9,3,8,5,9,Q
4,6,6,4,5,8,5,6,4,6,7,10,4,7,5,9,Q
2,8,3,6,1,13,3,8,4,13,3,11,1,6,0,8,J
4,7,5,5,2,8,9,1,7,14,5,6,0,8,1,8,J
4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7,D
2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8,R
4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8,M
3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8,A
3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5,N
6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7,M
8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8,P
6,12,5,7,4,8,5,4,3,9,9,11,4,9,8,10,C
6,10,8,8,7,8,5,7,5,7,6,6,3,9,8,9,P
2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8,N
3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8,W
3,8,5,6,6,8,7,4,1,8,7,8,5,10,4,7,V
6,9,9,8,10,8,7,5,5,7,6,8,8,9,9,3,V
6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7,M
4,8,5,6,4,7,7,4,8,11,8,9,2,9,5,7,E
6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4,N
8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5,Y
4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8,W
6,7,8,6,6,6,6,5,6,8,5,8,3,6,5,6,O
4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8,N
4,8,5,6,5,7,10,8,5,8,5,6,3,6,7,11,H
4,7,5,5,3,8,7,8,5,10,6,8,3,8,3,8,O
4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8,N
4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8,H
7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6,U
2,7,3,5,1,6,10,0,3,7,11,8,1,11,0,8,Y
6,8,7,6,4,6,9,4,8,11,7,6,2,8,5,5,S
5,9,6,7,5,7,7,7,5,7,6,7,2,8,9,8,S
2,3,2,2,1,7,11,2,6,7,10,8,1,11,1,7,T
2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7,C
4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8,V
5,8,5,6,3,6,12,4,7,12,9,4,2,12,2,4,T
7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7,K
3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7,D
2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8,W
2,9,3,7,2,8,7,0,7,13,6,9,0,8,1,8,I
3,8,3,6,2,3,7,6,10,7,6,14,0,8,7,8,E
6,9,8,7,4,6,12,6,6,13,7,3,2,9,2,5,F
3,9,4,7,3,7,7,0,7,13,6,8,0,8,1,8,I
5,10,7,8,8,7,7,6,6,7,6,9,3,8,4,8,H
4,7,4,5,2,7,5,13,5,7,14,7,3,9,0,8,U
2,3,3,2,1,6,8,7,7,9,7,12,1,10,3,9,C
5,9,6,7,7,7,6,6,4,7,7,8,5,10,9,12,F
3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7,A
3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7,Z
3,7,5,5,2,10,5,2,8,10,1,7,3,7,3,10,X
3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8,N
6,9,5,4,3,10,6,5,5,10,2,8,6,6,4,9,R
3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10,B
5,9,7,7,7,8,8,3,6,10,5,6,3,7,6,8,B
5,6,5,4,2,5,8,6,8,9,8,8,3,9,2,5,U
4,4,6,5,4,8,9,4,5,7,6,9,3,7,8,8,J
3,7,4,5,2,1,11,4,4,11,11,8,0,8,2,7,F
6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9,M
1,1,2,1,1,7,7,12,1,7,6,8,3,8,0,8,H
2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7,A
5,10,4,5,3,6,6,6,2,9,6,9,5,9,4,8,O
1,0,1,1,1,4,7,5,8,7,6,13,0,8,6,10,E
3,3,3,1,1,5,8,5,7,10,9,8,3,10,2,6,U
3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7,A
4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6,X
5,8,7,6,4,8,8,4,9,11,3,8,2,6,4,9,S
1,3,2,2,1,10,7,1,5,11,4,8,0,7,0,7,J
5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8,K
2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8,I
7,11,10,8,6,6,11,3,6,13,6,3,0,10,3,8,P
2,1,2,1,0,8,15,1,4,6,10,8,0,8,0,8,T
1,1,2,2,1,6,8,6,6,9,7,12,1,9,3,10,C
4,9,4,7,4,7,8,13,1,7,5,8,3,8,0,8,H
2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9,A
6,11,9,8,11,7,7,3,6,6,7,11,6,11,9,7,L
3,6,4,4,3,7,12,4,6,7,11,8,2,12,1,7,T
2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9,A
3,9,5,7,3,8,9,4,1,6,12,8,2,10,0,8,V
5,7,6,5,5,8,8,8,5,6,7,9,4,8,4,5,U
2,9,2,6,3,7,7,0,7,7,6,8,0,8,2,8,I
8,14,8,8,5,8,5,2,9,12,6,9,3,7,6,7,Z
4,7,6,5,6,8,8,4,2,8,7,8,7,11,5,8,V
5,9,7,6,7,9,7,5,5,6,7,6,10,7,4,6,M
4,8,6,6,4,6,5,2,8,7,2,8,1,6,3,7,L
3,3,5,5,2,9,6,9,7,7,5,10,3,8,4,8,O
4,2,5,4,4,7,7,5,6,7,6,6,2,8,7,10,B
8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5,A
6,9,9,6,7,9,6,1,7,10,3,8,3,7,3,9,K
3,7,4,5,4,7,7,5,6,7,6,8,3,8,3,8,H
7,9,7,7,5,6,10,1,8,11,9,5,2,9,3,4,T
6,5,7,4,4,4,11,2,2,9,9,8,7,11,1,7,W
3,8,3,5,1,1,12,4,5,12,11,8,0,8,2,6,F
3,3,5,4,1,7,6,3,0,7,0,8,2,7,1,8,A
3,8,3,6,3,3,6,5,9,5,4,13,0,8,6,9,E
4,9,5,7,4,7,7,12,1,7,9,8,8,6,0,8,M
4,9,5,7,6,7,8,9,6,7,6,6,2,8,8,10,B
3,7,5,5,6,7,8,6,4,6,6,8,5,8,7,9,M
6,9,6,7,4,5,8,0,8,8,9,5,2,11,4,4,Y
4,9,6,7,3,6,12,3,4,7,12,9,3,10,1,8,V
2,8,3,6,3,8,8,7,6,7,4,6,2,7,8,8,S
2,1,2,2,1,6,8,7,7,8,7,12,1,9,4,10,C
4,9,6,6,8,7,7,6,3,7,6,7,8,7,9,9,H
5,8,5,6,4,8,6,11,4,8,13,7,3,9,0,8,U
6,10,6,6,4,7,10,5,2,11,5,4,4,11,5,7,P
3,8,4,6,2,7,7,4,13,10,6,8,0,8,8,8,Z
3,4,5,2,2,7,7,2,8,11,7,9,2,8,4,8,E
5,9,7,6,4,4,10,3,4,9,10,9,5,8,1,8,N
6,10,5,6,3,5,9,6,3,10,5,6,5,9,4,7,P
4,5,5,4,4,7,7,6,6,7,6,7,3,8,3,6,H
6,11,6,8,5,6,11,3,7,11,9,5,2,12,2,4,T
5,5,5,8,4,7,9,10,8,7,5,7,2,8,9,10,B
5,10,6,7,2,7,4,14,6,7,15,8,3,9,0,8,U
3,4,4,6,2,8,8,6,9,5,5,5,0,8,9,7,S
5,6,5,8,2,1,14,5,3,12,9,5,0,8,3,6,F
3,9,4,7,4,9,6,1,6,11,4,7,0,6,1,6,J
3,6,4,4,4,6,7,5,5,7,6,7,3,7,4,9,R
3,2,3,4,3,7,8,5,7,7,5,9,2,8,5,10,E
6,9,6,4,4,8,9,5,3,10,5,5,5,10,5,6,P
2,2,1,4,1,7,7,1,7,7,6,8,0,8,3,8,I
7,10,9,8,9,7,7,5,5,7,6,7,7,6,9,13,K
4,10,6,7,4,8,6,8,7,4,5,3,3,8,4,8,D
4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7,B
5,10,7,8,6,7,9,8,5,8,5,6,3,7,7,10,H
7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8,M
6,11,7,8,3,4,13,9,2,10,6,4,1,10,4,8,P
4,8,6,6,4,8,5,8,4,7,5,8,3,8,3,8,O
2,8,3,6,3,8,7,7,5,7,6,7,2,9,8,8,S
4,7,6,5,4,3,8,3,7,11,11,12,3,8,3,5,K
7,10,7,8,3,3,11,4,4,10,12,8,3,10,1,8,V
7,11,10,8,5,6,11,2,7,14,7,4,1,10,2,7,F
3,4,5,6,1,6,10,3,2,9,13,8,1,11,0,8,Y
4,6,6,4,3,11,6,3,8,11,3,6,3,8,3,9,D
1,0,1,1,0,7,7,2,10,8,6,8,0,8,6,8,Z
3,5,3,6,3,7,8,6,3,8,8,9,3,8,5,7,Q
8,14,8,8,4,9,4,4,4,13,5,8,3,10,3,8,S
5,7,7,5,6,8,6,5,6,9,6,7,3,9,6,10,B
8,13,9,7,5,6,7,3,6,10,8,10,6,10,4,7,K
3,10,5,7,2,5,8,5,3,9,14,8,3,10,0,8,V
4,7,4,5,3,6,7,9,7,7,6,7,2,8,9,10,B
2,2,4,4,2,6,10,1,7,7,11,9,1,11,1,8,Y
3,4,4,3,2,7,7,7,5,7,6,8,2,8,3,8,O
6,10,8,7,5,8,6,3,10,12,4,9,1,7,6,9,Z
2,3,3,2,1,6,4,1,8,7,2,10,0,7,2,8,L
1,3,2,2,1,10,6,2,6,12,4,9,0,7,1,7,J
1,3,3,2,1,7,8,1,9,11,7,7,1,8,5,7,Z
3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8,A
3,5,4,5,3,8,7,4,5,7,6,8,3,8,7,10,L
2,5,3,3,1,10,7,1,7,12,3,7,0,7,1,7,J
5,6,6,8,5,8,7,6,3,7,7,12,3,8,6,8,Q
1,3,2,1,1,7,8,5,3,7,7,7,4,8,1,6,N
2,6,3,4,1,7,7,3,13,9,6,8,0,8,8,8,Z
4,9,5,7,3,3,7,6,11,7,6,15,0,8,7,7,E
4,7,3,10,3,9,7,3,3,11,4,5,3,8,6,9,J
4,8,5,6,3,5,7,10,10,6,5,6,3,8,4,8,D
5,10,6,8,5,7,8,9,6,8,8,6,4,8,5,10,O
3,6,4,4,2,5,4,3,8,3,2,6,1,6,2,5,L
4,5,5,4,2,4,12,4,4,11,11,6,2,10,1,8,V
6,10,9,8,6,7,7,0,8,9,6,8,3,8,4,7,X
5,8,6,6,3,6,6,4,5,14,8,12,1,6,1,7,J
7,10,10,8,5,7,8,3,5,10,6,7,7,8,1,8,N
3,5,5,7,4,10,11,3,2,7,8,8,3,10,7,9,H
2,7,4,5,3,13,3,3,2,10,1,8,2,6,2,8,A
4,6,5,9,9,8,7,5,0,7,6,7,6,10,6,9,P
4,9,6,6,2,10,5,3,1,8,1,9,2,7,2,8,A
4,8,5,6,3,5,10,4,6,11,10,5,2,10,3,5,F
3,4,6,3,2,7,7,1,9,10,6,8,2,8,3,7,X
5,11,6,9,4,5,8,11,9,8,7,5,3,8,4,8,D
3,7,5,5,3,9,11,2,2,4,10,8,2,12,1,8,V
7,10,6,5,4,10,7,4,4,12,4,5,4,11,5,9,P
5,9,6,7,6,6,9,4,6,9,9,6,5,9,3,6,F
6,11,9,8,5,8,10,7,5,10,4,3,3,10,4,8,P
4,10,6,8,2,9,11,0,4,6,11,8,0,10,0,8,Y
3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8,W
6,9,8,7,5,6,11,7,3,11,5,3,2,10,4,8,P
5,6,7,7,6,7,8,4,5,7,7,8,4,6,8,6,J
4,2,4,4,3,8,7,6,10,6,5,9,2,8,6,8,E
4,8,5,6,3,7,5,6,9,5,6,10,0,9,9,8,S
3,7,3,5,2,3,8,6,11,7,5,14,0,8,7,8,E
